model,method,k,init,lr,difficulty,seed,acc
hflm,to,-0.3,c0.04,5e-4,medium,3,85.6
hflm,to,-0.3,random,1e-3,hard,1,40.6
hflm,to,-0.3,random,1e-3,hard,2,42.1
hflm,to,-0.3,random,1e-3,hard,3,27.450000000000003
hflm,to,-0.3,random,1e-3,medium,1,72.75
hflm,to,-0.3,random,1e-3,medium,2,76.95
hflm,to,-0.3,random,1e-3,medium,3,63.449999999999996
hflm,to,-0.3,random,3e-4,hard,1,35.949999999999996
hflm,to,-0.3,random,3e-4,hard,2,33.1
hflm,to,-0.3,random,3e-4,hard,3,25.45
hflm,to,-0.3,random,3e-4,medium,1,59.099999999999994
hflm,to,-0.3,random,3e-4,medium,2,80.7
hflm,to,-0.3,random,3e-4,medium,3,79.3
hflm,to,-0.3,random,5e-4,hard,1,37.05
hflm,to,-0.3,random,5e-4,hard,2,34.35
hflm,to,-0.3,random,5e-4,hard,3,35.3
hflm,to,-0.3,random,5e-4,medium,1,65.4
hflm,to,-0.3,random,5e-4,medium,2,77.25
hflm,to,-0.3,random,5e-4,medium,3,84.65
hflm,to,-0.5,c0.01,1e-3,hard,1,47.099999999999994
hflm,to,-0.5,c0.01,1e-3,hard,2,46.5
hflm,to,-0.5,c0.01,1e-3,hard,3,30.8
hflm,to,-0.5,c0.01,1e-3,medium,1,82.35
hflm,to,-0.5,c0.01,1e-3,medium,2,75.94999999999999
hflm,to,-0.5,c0.01,1e-3,medium,3,78.85
hflm,to,-0.5,c0.01,3e-4,hard,1,38.7
hflm,to,-0.5,c0.01,3e-4,hard,2,36.5
hflm,to,-0.5,c0.01,3e-4,hard,3,46.2
hflm,to,-0.5,c0.01,3e-4,medium,1,79.60000000000001
hflm,to,-0.5,c0.01,3e-4,medium,2,70.5
hflm,to,-0.5,c0.01,3e-4,medium,3,80.2
hflm,to,-0.5,c0.01,5e-4,hard,1,44.6
hflm,to,-0.5,c0.01,5e-4,hard,2,21.65
hflm,to,-0.5,c0.01,5e-4,hard,3,47.85
hflm,to,-0.5,c0.01,5e-4,medium,1,69.8
hflm,to,-0.5,c0.01,5e-4,medium,2,71.45
hflm,to,-0.5,c0.01,5e-4,medium,3,74.5
hflm,to,-0.5,c0.04,1e-3,hard,1,44.45
hflm,to,-0.5,c0.04,1e-3,hard,2,35.65
hflm,to,-0.5,c0.04,1e-3,hard,3,24.85
hflm,to,-0.5,c0.04,1e-3,medium,1,80.30000000000001
hflm,to,-0.5,c0.04,1e-3,medium,2,70.0
hflm,to,-0.5,c0.04,1e-3,medium,3,75.9
hflm,to,-0.5,c0.04,3e-4,hard,1,30.049999999999997
hflm,to,-0.5,c0.04,3e-4,hard,2,19.8
hflm,to,-0.5,c0.04,3e-4,hard,3,36.05
hflm,to,-0.5,c0.04,3e-4,medium,1,71.39999999999999
hflm,to,-0.5,c0.04,3e-4,medium,2,68.25
hflm,to,-0.5,c0.04,3e-4,medium,3,81.95
hflm,to,-0.5,c0.04,5e-4,hard,1,41.55
hflm,to,-0.5,c0.04,5e-4,hard,2,30.95
hflm,to,-0.5,c0.04,5e-4,hard,3,49.35
hflm,to,-0.5,c0.04,5e-4,medium,1,63.800000000000004
hflm,to,-0.5,c0.04,5e-4,medium,2,74.6
hflm,to,-0.5,c0.04,5e-4,medium,3,71.65
hflm,to,-0.5,random,1e-3,hard,1,30.8
hflm,to,-0.5,random,1e-3,hard,2,42.699999999999996
hflm,to,-0.5,random,1e-3,hard,3,38.6
hflm,to,-0.5,random,1e-3,medium,1,85.35000000000001
hflm,to,-0.5,random,1e-3,medium,2,69.95
hflm,to,-0.5,random,1e-3,medium,3,77.0
hflm,to,-0.5,random,3e-4,hard,1,37.5
hflm,to,-0.5,random,3e-4,hard,2,35.3
hflm,to,-0.5,random,3e-4,hard,3,38.25
hflm,to,-0.5,random,3e-4,medium,1,76.64999999999999
