diff,k,init,lr,seed,accuracy
hard,-0.5,c0.08,3e-4,2,0.412
hard,-0.5,c0.08,3e-4,3,0.3375
hard,-0.5,c0.08,5e-4,1,0.36
hard,-0.5,c0.08,5e-4,2,0.3605
hard,-0.5,c0.08,5e-4,3,0.376
hard,-0.5,ngpt,1e-3,1,0.257
hard,-0.5,ngpt,1e-3,2,0.3025
hard,-0.5,ngpt,1e-3,3,0.4225
hard,-0.5,ngpt,1e-4,1,0.3225
hard,-0.5,ngpt,1e-4,2,0.2775
hard,-0.5,ngpt,1e-4,3,0.2885
hard,-0.5,ngpt,3e-4,1,0.374
hard,-0.5,ngpt,3e-4,2,0.4455
hard,-0.5,ngpt,3e-4,3,0.3585
hard,-0.5,ngpt,5e-4,1,0.406
hard,-0.5,ngpt,5e-4,2,0.336
hard,-0.5,ngpt,5e-4,3,0.402
hard,-0.5,random,1e-3,1,0.2365
hard,-0.5,random,1e-3,2,0.357
hard,-0.5,random,1e-3,3,0.3595
hard,-0.5,random,1e-4,1,0.3335
hard,-0.5,random,1e-4,2,0.249
hard,-0.5,random,1e-4,3,0.2095
hard,-0.5,random,3e-4,1,0.4345
hard,-0.5,random,3e-4,2,0.3575
hard,-0.5,random,3e-4,3,0.416
hard,-0.5,random,5e-4,1,0.2115
hard,-0.5,random,5e-4,2,0.411
hard,-0.5,random,5e-4,3,0.3035
hard,-0.3,c0.01,1e-3,1,0.32
hard,-0.3,c0.01,1e-3,2,0.3945
hard,-0.3,c0.01,1e-3,3,0.396
hard,-0.3,c0.01,1e-4,1,0.394
hard,-0.3,c0.01,1e-4,2,0.3975
hard,-0.3,c0.01,1e-4,3,0.1775
hard,-0.3,c0.01,3e-4,1,0.31
hard,-0.3,c0.01,3e-4,2,0.5015
hard,-0.3,c0.01,3e-4,3,0.4505
hard,-0.3,c0.01,5e-4,1,0.3415
hard,-0.3,c0.01,5e-4,2,0.4335
hard,-0.3,c0.01,5e-4,3,0.297
hard,-0.3,c0.02,1e-3,1,0.123
hard,-0.3,c0.02,1e-3,2,0.318
hard,-0.3,c0.02,1e-3,3,0.239
hard,-0.3,c0.02,1e-4,1,0.2555
hard,-0.3,c0.02,1e-4,2,0.3315
hard,-0.3,c0.02,1e-4,3,0.3845
hard,-0.3,c0.02,3e-4,1,0.384
hard,-0.3,c0.02,3e-4,2,0.3505
hard,-0.3,c0.02,3e-4,3,0.284
hard,-0.3,c0.02,5e-4,1,0.243
hard,-0.3,c0.02,5e-4,2,0.331
hard,-0.3,c0.02,5e-4,3,0.375
hard,-0.3,c0.04,1e-3,1,0.293
hard,-0.3,c0.04,1e-3,2,0.3275
hard,-0.3,c0.04,1e-3,3,0.2465
hard,-0.3,c0.04,1e-4,1,0.2905
hard,-0.3,c0.04,1e-4,2,0.3255
hard,-0.3,c0.04,1e-4,3,0.2645
hard,-0.3,c0.04,3e-4,1,0.3555
hard,-0.3,c0.04,3e-4,2,0.3375
hard,-0.3,c0.04,3e-4,3,0.2785
hard,-0.3,c0.04,5e-4,1,0.429
hard,-0.3,c0.04,5e-4,2,0.3145
hard,-0.3,c0.04,5e-4,3,0.264
hard,-0.3,c0.06,1e-3,1,0.171
hard,-0.3,c0.06,1e-3,2,0.349
hard,-0.3,c0.06,1e-3,3,0.3565
hard,-0.3,c0.06,1e-4,1,0.2725
hard,-0.3,c0.06,1e-4,2,0.3055
hard,-0.3,c0.06,1e-4,3,0.225
hard,-0.3,c0.06,3e-4,1,0.3795
hard,-0.3,c0.06,3e-4,2,0.3625
