method,seed,nfe,temp,gen_ppl,entropy,num_unique,num_samples
duo,1,256,0.5,9.723129272460938,4.0988078117370605,512,512
duo,2,256,0.5,9.69287109375,4.103428840637207,512,512
duo,3,256,0.5,9.576225280761719,4.092832565307617,512,512
duo,1,256,0.55,10.044885635375977,4.136568069458008,512,512
duo,2,256,0.55,10.007312774658203,4.134699821472168,512,512
duo,3,256,0.55,9.861115455627441,4.123728275299072,512,512
duo,1,256,0.6,10.415641784667969,4.1537299156188965,512,512
duo,2,256,0.6,10.53777027130127,4.159229755401611,512,512
duo,3,256,0.6,10.281181335449219,4.157011032104492,512,512
duo,1,256,0.65,10.897233963012695,4.194092273712158,512,512
duo,2,256,0.65,11.00161075592041,4.192429542541504,512,512
duo,3,256,0.65,10.688310623168945,4.188054084777832,512,512
duo,1,256,0.7,11.48350715637207,4.220120906829834,512,512
duo,2,256,0.7,11.423839569091797,4.212197780609131,512,512
duo,3,256,0.7,11.36984634399414,4.217749118804932,512,512
duo,1,256,0.75,11.980439186096191,4.241281509399414,512,512
duo,2,256,0.75,12.033653259277344,4.24467658996582,512,512
duo,3,256,0.75,11.855751991271973,4.240589141845703,512,512
duo,1,256,0.8,12.93929672241211,4.262122631072998,512,512
duo,2,256,0.8,13.09161376953125,4.26379919052124,512,512
duo,3,256,0.8,12.55109977722168,4.253839015960693,512,512
duo,1,256,0.85,13.829080581665039,4.2786970138549805,512,512
duo,2,256,0.85,13.8128023147583,4.279284954071045,512,512
duo,3,256,0.85,13.52137279510498,4.2854485511779785,512,512
duo,1,256,0.9,14.862104415893555,4.289392948150635,512,512
duo,2,256,0.9,15.165660858154297,4.2972869873046875,512,512
duo,3,256,0.9,14.757567405700684,4.301560401916504,512,512
duo,1,256,0.95,16.399995803833008,4.3194966316223145,512,512
duo,2,256,0.95,16.2584228515625,4.313729763031006,512,512
duo,3,256,0.95,16.249557495117188,4.32578706741333,512,512
duo,1,256,1.0,18.155874252319336,4.3397417068481445,512,512
duo,2,256,1.0,18.610027313232422,4.34511661529541,512,512
duo,3,256,1.0,17.48857307434082,4.34346866607666,512,512
duo,1,256,1.05,20.017250061035156,4.35785436630249,512,512
duo,2,256,1.05,20.463531494140625,4.362086772918701,512,512
duo,3,256,1.05,19.894943237304688,4.362895488739014,512,512
duo,1,256,1.1,22.547908782958984,4.378396511077881,512,512
duo,2,256,1.1,23.586410522460938,4.376379489898682,512,512
duo,3,256,1.1,22.67243194580078,4.381919860839844,512,512
duo,1,256,1.15,26.129928588867188,4.3935136795043945,512,512
duo,2,256,1.15,26.926088333129883,4.39565372467041,512,512
duo,3,256,1.15,25.571304321289062,4.40507173538208,512,512
duo,1,256,1.2,30.80591583251953,4.408716201782227,512,512
duo,2,256,1.2,31.2597713470459,4.402904987335205,512,512
duo,3,256,1.2,29.89397430419922,4.416247367858887,512,512
flm,1,1,0.5,49.38782501220703,1.3803837299346924,512,512
flm,2,1,0.5,50.01268768310547,1.5376397371292114,512,512
flm,3,1,0.5,49.21628189086914,1.5966733694076538,512,512
flm,1,1,0.55,49.581302642822266,1.377943515777588,512,512
flm,2,1,0.55,50.1930046081543,1.5356390476226807,512,512
flm,3,1,0.55,49.27810287475586,1.5944832563400269,512,512
flm,1,1,0.6,49.68361282348633,1.3755649328231812,512,512
flm,2,1,0.6,50.080196380615234,1.5336955785751343,512,512
flm,3,1,0.6,49.30750274658203,1.5930893421173096,512,512
flm,1,1,0.65,49.826786041259766,1.3740726709365845,512,512
flm,2,1,0.65,50.189483642578125,1.5326539278030396,512,512
flm,3,1,0.65,49.43579864501953,1.592026948928833,512,512
flm,1,1,0.7,49.887821197509766,1.372395634651184,512,512
flm,2,1,0.7,50.45328903198242,1.531162977218628,512,512
flm,3,1,0.7,49.595481872558594,1.5902823209762573,512,512
flm,1,1,0.75,49.55952072143555,1.3703540563583374,512,512
flm,2,1,0.75,50.387290954589844,1.5302860736846924,512,512
flm,3,1,0.75,49.27627944946289,1.5892772674560547,512,512
flm,1,1,0.8,50.03311538696289,1.3694430589675903,512,512
flm,2,1,0.8,50.26581573486328,1.5296796560287476,512,512
flm,3,1,0.8,49.4923210144043,1.5880463123321533,512,512
flm,1,1,0.85,49.89015579223633,1.3689675331115723,512,512
flm,2,1,0.85,50.50513458251953,1.5285876989364624,512,512
flm,3,1,0.85,49.65998840332031,1.5871593952178955,512,512
flm,1,1,0.9,49.564815521240234,1.3700178861618042,512,512
flm,2,1,0.9,50.21807861328125,1.53043794631958,512,512
flm,3,1,0.9,49.36210632324219,1.587821125984192,512,512
flm,1,1,0.95,49.45356369018555,1.3773038387298584,512,512
flm,2,1,0.95,50.01943588256836,1.5352593660354614,512,512
flm,3,1,0.95,49.459598541259766,1.5914510488510132,512,512
flm,1,1,1.0,49.38782501220703,1.3803837299346924,512,512
flm,2,1,1.0,50.01268768310547,1.5376397371292114,512,512
flm,3,1,1.0,49.21628189086914,1.5966733694076538,512,512
flm,1,1,1.05,49.32089614868164,1.3789794445037842,512,512
flm,2,1,1.05,50.07987594604492,1.5365554094314575,512,512
flm,3,1,1.05,49.188316345214844,1.5953733921051025,512,512
flm,1,1,1.1,49.581302642822266,1.377943515777588,512,512
flm,2,1,1.1,50.1930046081543,1.5356390476226807,512,512
flm,3,1,1.1,49.27810287475586,1.5944832563400269,512,512
flm,1,1,1.15,49.42990493774414,1.3766332864761353,512,512
flm,2,1,1.15,50.11011505126953,1.534778118133545,512,512
flm,3,1,1.15,49.26703643798828,1.594161868095398,512,512
flm,1,1,1.2,49.68361282348633,1.3755649328231812,512,512
flm,2,1,1.2,50.080196380615234,1.5336955785751343,512,512
flm,3,1,1.2,49.30750274658203,1.5930893421173096,512,512
flm,1,4,0.5,97.93489837646484,3.7556848526000977,512,512
flm,2,4,0.5,83.8851547241211,3.790123701095581,512,512
flm,3,4,0.5,80.30048370361328,3.767803192138672,512,512
flm,1,4,0.55,110.59036254882812,3.922489643096924,512,512
flm,2,4,0.55,94.42481231689453,3.9571681022644043,512,512
flm,3,4,0.55,88.7680435180664,3.919297695159912,512,512
flm,1,4,0.6,125.7519760131836,4.076414108276367,512,512
flm,2,4,0.6,106.80429077148438,4.114902019500732,512,512
flm,3,4,0.6,100.17496490478516,4.072447299957275,512,512
flm,1,4,0.65,146.97886657714844,4.217906951904297,512,512
flm,2,4,0.65,120.85124969482422,4.255791187286377,512,512
flm,3,4,0.65,115.91693878173828,4.226062774658203,512,512
flm,1,4,0.7,173.2950897216797,4.3271074295043945,512,512
flm,2,4,0.7,140.92474365234375,4.3941969871521,512,512
flm,3,4,0.7,132.5426025390625,4.366065502166748,512,512
flm,1,4,0.75,210.5084686279297,4.435337066650391,512,512
flm,2,4,0.75,164.85964965820312,4.5108747482299805,512,512
flm,3,4,0.75,155.48226928710938,4.48256254196167,512,512
flm,1,4,0.8,248.89419555664062,4.492846488952637,512,512
flm,2,4,0.8,195.74766540527344,4.607168674468994,512,512
flm,3,4,0.8,182.6285400390625,4.585171222686768,512,512
flm,1,4,0.85,263.8921813964844,4.406318187713623,512,512
flm,2,4,0.85,231.1829071044922,4.6824517250061035,512,512
flm,3,4,0.85,217.69557189941406,4.673797130584717,512,512
flm,1,4,0.9,197.9904022216797,4.028621196746826,512,512
flm,2,4,0.9,279.38702392578125,4.732895374298096,512,512
flm,3,4,0.9,261.93658447265625,4.737878799438477,512,512
flm,1,4,0.95,93.82376098632812,3.336083173751831,512,512
flm,2,4,0.95,328.4156494140625,4.739808082580566,512,512
flm,3,4,0.95,315.2274475097656,4.77366304397583,512,512
flm,1,4,1.0,32.898765563964844,2.4493093490600586,512,512
flm,2,4,1.0,368.8021240234375,4.682780742645264,512,512
flm,3,4,1.0,370.08282470703125,4.760228633880615,512,512
flm,1,4,1.05,11.354789733886719,1.6155203580856323,511,512
flm,2,4,1.05,370.9177551269531,4.512448787689209,512,512
flm,3,4,1.05,377.2530822753906,4.6164350509643555,512,512
flm,1,4,1.1,5.018157482147217,0.9982177019119263,506,512
