nfe,eta,temp,seed,gen_ppl,entropy,num_unique,num_samples
64,0.0,0.6,1,13.64547061920166,4.203171730041504,512,512
64,0.0,0.6,2,13.746756553649902,4.19976806640625,512,512
64,0.0,0.6,3,13.90336799621582,4.165398597717285,512,512
64,0.0,0.65,1,14.273168563842773,4.238132476806641,512,512
64,0.0,0.65,2,14.326884269714355,4.232759475708008,512,512
64,0.0,0.65,3,14.625795364379883,4.205714225769043,512,512
64,0.0,0.7,1,14.941385269165039,4.269225597381592,512,512
64,0.0,0.7,2,14.947603225708008,4.268301963806152,512,512
64,0.0,0.7,3,15.265486717224121,4.240769386291504,512,512
64,0.0,0.75,1,15.683145523071289,4.298022747039795,512,512
64,0.0,0.75,2,15.93131160736084,4.306853771209717,512,512
64,0.0,0.75,3,15.797706604003906,4.277137756347656,512,512
64,0.0,0.8,1,16.582326889038086,4.326650142669678,512,512
64,0.0,0.8,2,17.032663345336914,4.330967903137207,512,512
64,0.0,0.8,3,17.004621505737305,4.312489986419678,512,512
64,0.0,0.85,1,17.776981353759766,4.355093479156494,512,512
64,0.0,0.85,2,18.04985237121582,4.354781627655029,512,512
64,0.0,0.85,3,18.017505645751953,4.341933727264404,512,512
64,0.0,0.9,1,19.103445053100586,4.3810272216796875,512,512
64,0.0,0.9,2,19.465654373168945,4.379340171813965,512,512
64,0.0,0.9,3,19.48055648803711,4.369245529174805,512,512
64,0.0,0.95,1,20.71541976928711,4.4054274559021,512,512
64,0.0,0.95,2,21.024368286132812,4.4057936668396,512,512
64,0.0,0.95,3,21.03036880493164,4.394274711608887,512,512
64,0.0,1.0,1,22.880327224731445,4.430346965789795,512,512
64,0.0,1.0,2,22.962989807128906,4.423151016235352,512,512
64,0.0,1.0,3,22.87922477722168,4.421260356903076,512,512
64,0.0,1.05,1,25.589876174926758,4.457489967346191,512,512
64,0.0,1.05,2,25.302902221679688,4.44724702835083,512,512
64,0.0,1.05,3,25.624414443969727,4.450243949890137,512,512
64,0.0,1.1,1,28.39962387084961,4.482433319091797,512,512
64,0.0,1.1,2,28.313209533691406,4.473668098449707,512,512
64,0.0,1.1,3,28.64691734313965,4.475961685180664,512,512
64,0.0,1.15,1,31.939380645751953,4.507643699645996,512,512
64,0.0,1.15,2,32.26484680175781,4.501068592071533,512,512
64,0.0,1.15,3,32.32169723510742,4.503407001495361,512,512
64,0.0,1.2,1,36.88861846923828,4.537299156188965,512,512
64,0.0,1.2,2,37.36680603027344,4.529898166656494,512,512
64,0.0,1.2,3,37.98483657836914,4.536845684051514,512,512
64,0.25,0.5,1,12.678474426269531,4.110135078430176,512,512
64,0.25,0.6,1,13.494353294372559,4.197408199310303,512,512
64,0.25,0.7,1,14.983651161193848,4.264919757843018,512,512
64,0.25,0.9,1,18.945938110351562,4.370971202850342,512,512
64,0.25,1.1,1,28.294921875,4.471014499664307,512,512
64,0.5,0.5,1,12.643157005310059,4.117262840270996,512,512
64,0.5,0.6,1,13.491223335266113,4.195816993713379,512,512
64,0.5,0.7,1,14.742884635925293,4.267436981201172,512,512
64,0.5,0.9,1,18.92177391052246,4.376278877258301,512,512
64,0.5,1.1,1,28.165996551513672,4.473711013793945,512,512
64,1.0,0.5,1,12.54332160949707,4.122711181640625,512,512
64,1.0,0.6,1,13.351618766784668,4.201111793518066,512,512
64,1.0,0.7,1,14.7139892578125,4.272100448608398,512,512
64,1.0,0.9,1,18.89812660217285,4.376659870147705,512,512
64,1.0,1.1,1,27.87298583984375,4.475812911987305,512,512
64,2.0,0.5,1,12.229469299316406,4.1343841552734375,512,512
64,2.0,0.6,1,13.172595977783203,4.204007148742676,512,512
64,2.0,0.7,1,14.412032127380371,4.273242950439453,512,512
64,2.0,0.9,1,18.76949691772461,4.373261451721191,512,512
64,2.0,1.1,1,27.532936096191406,4.469883441925049,512,512
64,4.0,0.5,1,12.129476547241211,4.125634670257568,512,512
64,4.0,0.6,1,12.918188095092773,4.201092720031738,512,512
64,4.0,0.7,1,14.35703182220459,4.269609451293945,512,512
64,4.0,0.9,1,18.737546920776367,4.379223346710205,512,512
64,4.0,1.1,1,28.79001808166504,4.479165554046631,512,512
64,8.0,0.5,1,11.848031997680664,4.135251522064209,512,512
64,8.0,0.6,1,12.692788124084473,4.206376075744629,512,512
64,8.0,0.7,1,14.003656387329102,4.270604133605957,512,512
64,8.0,0.9,1,17.956623077392578,4.372408390045166,512,512
64,8.0,1.1,1,27.88224983215332,4.477321624755859,512,512
64,16.0,0.5,1,11.6442232131958,4.145145416259766,512,512
64,16.0,0.5,2,11.727177619934082,4.174363136291504,512,512
64,16.0,0.5,3,11.691675186157227,4.108142852783203,512,512
