method,gt,eta,seed,nfe,gen_ppl,entropy,num_unique,num_samples
eflm,p75,4.0,2,16,11.986048698425293,3.9378256797790527,512,512
eflm,p75,4.0,3,16,12.343059539794922,3.8990399837493896,512,512
eflm,p75,8.0,1,16,13.51121997833252,4.008194923400879,512,512
eflm,p75,8.0,2,16,13.368783950805664,4.025083065032959,512,512
eflm,p75,8.0,3,16,13.181537628173828,3.9765608310699463,512,512
eflm,p75,16.0,1,16,19.22981834411621,4.194303512573242,512,512
eflm,p75,16.0,2,16,19.559207916259766,4.208606719970703,512,512
eflm,p75,16.0,3,16,18.34503173828125,4.140791893005371,512,512
eflm,p75,32.0,1,16,68.47012329101562,4.491335868835449,512,512
eflm,p75,32.0,2,16,69.13542938232422,4.480244159698486,512,512
eflm,p75,32.0,3,16,61.0307731628418,4.434250831604004,512,512
eflm,p75,64.0,1,16,13113.8896484375,5.368744850158691,512,512
eflm,p75,64.0,2,16,15558.373046875,5.3912672996521,512,512
eflm,p75,64.0,3,16,9938.26171875,5.321235656738281,512,512
eflm,p75,1.0,1,64,10.745583534240723,3.836945056915283,512,512
eflm,p75,1.0,2,64,10.252654075622559,3.852609634399414,512,512
eflm,p75,1.0,3,64,10.696622848510742,3.8130741119384766,512,512
eflm,p75,2.0,1,64,10.389022827148438,3.858952760696411,512,512
eflm,p75,2.0,2,64,9.905013084411621,3.872856616973877,512,512
eflm,p75,2.0,3,64,10.405678749084473,3.83142352104187,512,512
eflm,p75,4.0,1,64,10.032346725463867,3.8846335411071777,512,512
eflm,p75,4.0,2,64,9.742486953735352,3.9041969776153564,512,512
eflm,p75,4.0,3,64,9.91948413848877,3.8710124492645264,512,512
eflm,p75,8.0,1,64,9.874238014221191,3.937288522720337,512,512
eflm,p75,8.0,2,64,9.629212379455566,3.953998327255249,512,512
eflm,p75,8.0,3,64,9.82912826538086,3.9206082820892334,512,512
eflm,p75,16.0,1,64,10.131982803344727,4.001237392425537,512,512
eflm,p75,16.0,2,64,10.000794410705566,4.025599002838135,512,512
eflm,p75,16.0,3,64,10.123188018798828,3.9957168102264404,512,512
eflm,p75,32.0,1,64,11.1422119140625,4.095068454742432,512,512
